model,pr_auc,roc_auc,f1,recall,precision,accuracy,balanced_accuracy,threshold
LR_unweighted,0.6287503646652436,0.8321560138240096,0.5337620578778135,0.4129353233830846,0.7545454545454545,0.8839071257005604,0.6935859823022293,0.5
LR_balanced,0.5976439254952259,0.8245414150620941,0.4983164983164983,0.736318407960199,0.37659033078880405,0.7614091273018415,0.7512698910030002,0.5
XGB_scale_pos_weight,0.5717042200847101,0.8070857544339372,0.5464788732394367,0.48258706467661694,0.6298701298701299,0.8710968775020016,0.7140988758497588,0.5
RF_balanced,0.5027391169759404,0.7832497816262202,0.4169381107491857,0.31840796019900497,0.6037735849056604,0.8566853482786229,0.6391658121605712,0.5
Dummy_prior,0.16022131775709764,0.49743885534161253,0.0,0.0,0.0,0.8390712570056045,0.5,0.5
