feature,coef,abs_coef
OverTime_Yes,1.771105014344572,1.771105014344572
BusinessTravel_Non-Travel,-1.332317824076672,1.332317824076672
JobRole_Research Director,-1.172535643398273,1.172535643398273
MaritalStatus_Divorced,-0.8333706471970377,0.8333706471970377
JobRole_Laboratory Technician,0.7901651063620141,0.7901651063620141
EducationField_Other,-0.7679438666618542,0.7679438666618542
Department_Research & Development,-0.7308161966319754,0.7308161966319754
MaritalStatus_Married,-0.6298783248857772,0.6298783248857772
EducationField_Medical,-0.5732636953284306,0.5732636953284306
JobRole_Sales Representative,0.5462742928031566,0.5462742928031566
YearsSinceLastPromotion,0.5139540680103957,0.5139540680103957
JobRole_Healthcare Representative,-0.5110067820133863,0.5110067820133863
Department_Human Resources,-0.4679686399604175,0.4679686399604175
YearsInCurrentRole,-0.4602516783965057,0.4602516783965057
EnvironmentSatisfaction,-0.4551885071933841,0.4551885071933841
NumCompaniesWorked,0.45394921432263236,0.45394921432263236
BusinessTravel_Travel_Rarely,-0.4529468404472294,0.4529468404472294
TotalWorkingYears,-0.4469293830889935,0.4469293830889935
YearsWithCurrManager,-0.4419349740746035,0.4419349740746035
JobRole_Manufacturing Director,-0.40992959516080346,0.40992959516080346
BusinessTravel_Travel_Frequently,0.40495041584301333,0.40495041584301333
EducationField_Life Sciences,-0.398599353651303,0.398599353651303
JobSatisfaction,-0.38881899390694324,0.38881899390694324
DistanceFromHome,0.3816670177107124,0.3816670177107124
JobInvolvement,-0.37725166517717984,0.37725166517717984
YearsAtCompany,0.3558136330912038,0.3558136330912038
Age,-0.3493111862815591,0.3493111862815591
WorkLifeBalance,-0.2915428680942203,0.2915428680942203
JobRole_Research Scientist,-0.277356623822674,0.277356623822674
RelationshipSatisfaction,-0.2600763011057742,0.2600763011057742
Gender_Male,0.25533025548504673,0.25533025548504673
EducationField_Human Resources,0.25071229080806384,0.25071229080806384
JobRole_Manager,-0.24981362138205904,0.24981362138205904
StockOptionLevel,-0.24702100206189256,0.24702100206189256
TrainingTimesLastYear,-0.22312386615903365,0.22312386615903365
EducationField_Technical Degree,0.20234863469010786,0.20234863469010786
JobRole_Sales Executive,-0.18678431806045542,0.18678431806045542
Department_Sales,-0.18152941208861176,0.18152941208861176
DailyRate,-0.15590368569491797,0.15590368569491797
EducationField_Marketing,-0.09356825853759143,0.09356825853759143
JobRole_Human Resources,0.09067293599151628,0.09067293599151628
MaritalStatus_Single,0.08293472340187467,0.08293472340187467
MonthlyIncome,-0.08292005795584562,0.08292005795584562
PercentSalaryHike,-0.06718638025943936,0.06718638025943936
PerformanceRating,0.05403050613062917,0.05403050613062917
JobLevel,0.04247297093689743,0.04247297093689743
HourlyRate,-0.030264177100230626,0.030264177100230626
Education,-0.011305587502864908,0.011305587502864908
MonthlyRate,-0.002057339533804863,0.002057339533804863
